fecha,total,region: América Del Centro,region: América Del Norte,region: Europa,frontera: La Aurora,frontera: Valle Nuevo,frontera: San Cristóbal
2010-11-01,179538.33569674406,129744.65774227306,31066.677954471008,11268.0,84269.0,38975.16226784681,18180.978217673757
2010-12-01,227411.04636668903,166536.38986866781,44218.65649802123,9704.0,99374.0,49153.36449247465,18585.315104293313
2011-01-01,169708.55722701532,115145.08491200685,35403.47231500847,10214.0,81528.0,19781.99766267787,16801.700921936066
2011-02-01,139869.86559086668,88483.13519497334,32746.73039589335,10924.0,69003.0,20024.563123753087,13547.62732936377
2011-03-01,169957.79100865728,111569.58910726917,39814.20190138811,10649.0,77452.0,31779.263113919333,20310.42753878198
2011-04-01,191655.76499508988,138143.3940879542,37249.370907135686,9218.0,76906.0,43041.709204256746,14731.218445254177
2011-05-01,145923.5477812599,102170.69393194425,30125.85384931567,6639.0,67989.0,33634.023705894186,7714.875303259098
2011-06-01,163014.46872590488,108360.53593042372,41325.93279548117,6452.0,82227.0,33768.87630967601,8690.502582096271
2011-07-01,200521.00470178176,131289.94151871614,51321.06318306561,10530.0,97440.0,41319.86378205304,8770.89784100263
2011-08-01,174775.4937045801,124097.07098620424,33741.422718375834,10035.0,77293.0,39986.95680294388,9566.694929919055
2011-09-01,141183.83971974195,105097.67675853525,23078.162961206715,5963.0,65207.0,31350.087621343144,8411.243541119105
2011-10-01,152049.08059590787,110734.98800635971,26427.092589548163,7459.0,71504.0,33131.44086127238,16627.45964166415
2011-11-01,187320.0779012438,136002.00359961748,31803.074301626315,11263.0,85769.0,43409.35031323984,17728.145314336274
2011-12-01,243735.11067073603,181883.34268717706,45546.767983558966,9261.0,100923.0,54537.257696111,24439.376617663314
2012-01-01,177125.95776830107,122214.34001954578,36525.61774875529,9565.0,80805.0,20562.41080891789,17427.388165146796
2012-02-01,147819.44219831316,93819.68012200746,35615.76207630571,10801.0,69673.0,22238.632687684734,14399.908337665209
2012-03-01,186237.2082521481,122296.00249908665,44971.20575306145,11173.0,84290.0,33414.05980710964,21377.610678639103
